EmployeeID,EmployeeName,Age,Gender,Department,JobRole,EducationField,Education,MonthlyIncome,HourlyRate,DailyRate,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,RelationshipSatisfaction,BusinessTravel,MaritalStatus,DistanceFromHome,OverTime,PercentSalaryHike,TrainingTimesLastYear,StockOptionLevel,JobInvolvement,Attrition,JoiningDate
EMP7522,  Anthony White   ,27.0,Female,Operations,Financial Analyst,Marketing,5,13027.0,81,1306,16.0,17,14,38.0,6,3.0,3,3.0,3.0,4,Non-Travel,Single,9,Yes,22,2,0,3,yes,22-7-2019
EMP2128,Jessica Williams,51.0,Male,Operations,Operations Lead,Human Resources,3,8014.0,66,238,33.0,13,0,29.0,7,3.0,4,1.0,3.0,2,Travel_Frequently,Divorced,25,Yes,25,2,3,3,Yes ,N/A
EMP5462,Matthew Brown,22.0,Female,Operations,Research Scientist,Other,4,18701.0,81,1144,17.0,16,7,,6,3.0,1,1.0,3.0,2,Travel_Rarely,Divorced,17,Yes,11,1,1,2,yes,9/14/2012
EMP4961,Charles White,18.0,Male,Marketing,Marketing Specialist,Other,3,7129.0,45,602,18.0,6,6,,3,2.0,3,2.0,3.0,1,Travel_Rarely,Married,29,No,20,3,0,1,No,
EMP6217,Barbara Williams,24.0,f,Finance,Marketing Specialist,Technical Degree,5,12894.0,71,148,4.0,4,3,37.0,0,,4,,,1,Non-Travel,Married,19,No,19,4,3,1,1,6-10-2015
EMP5867,Ashley Jackson,52.0,female,Operations,,Human Resources,1,17685.0,56,680,23.0,6,17,1.0,4,1.0,3,1.0,,4,Non-Travel,Single,7,Yes ,14,0,3,3,No,
EMP4066,Sandra Harris,54.0,Female,human resources,,Human Resources,5,19031.0,76,525,34.0,4,3,14.0,9,3.0,3,1.0,,4,Travel_Frequently,SINGLE,2,YES,16,2,1,3,No,unknown
EMP5200,Mark Davis,18.0,Male,Finance,HR Representative,Life Sciences,2,5035.0,53,1282,28.0,9,16,40.0,5,1.0,2,,3.0,1,Travel_Rarely,Single,15,Yes,19,6,3,2,No,unknown
EMP6417,David Moore,24.0,M,IT dept,Operations Lead,Marketing,1,6110.0,98,1165,34.0,6,10,30.0,1,,1,4.0,4.0,4,Travel_Rarely,Married,8,Yes,25,1,0,2,y,unknown
EMP1324,Mark Wilson,35.0,male,human resources,Software Engineer,Technical Degree,1,13620.0,46,397,34.0,12,1,,6,2.0,1,1.0,3.0,3,Non-Travel,DIVORCED,7,No,21,3,2,2,No,8/6/2024
EMP4725,Jennifer Williams,50.0,Male,Operations,Manager,Marketing,1,,61,163,27.0,13,14,,6,,1,2.0,3.0,3,Travel_Frequently,Divorced,27,No,15,6,2,2,No,
EMP8457,Thomas Jackson,41.0,Male,,Research Scientist,Medical,5,12919.0,32,176,,7,7,37.0,6,1.0,3,3.0,3.0,1,Travel_Rarely,Single,22,0,22,5,2,2,n,2014-11-05
EMP3721,Sandra Miller,38.0,Female,,Software Engineer,Medical,2,14183.0,71,623,26.0,3,12,40.0,3,2.0,1,4.0,3.0,4,Non-Travel,Married,1,No,18,0,1,3,No,2022-06-12
EMP3199,Betty Jones,31.0,Male,Human resources,HR Representative,Marketing,4,18321.0,80,896,29.0,17,15,23.0,3,4.0,1,3.0,3.0,4,Travel_Frequently,Married,3,0,15,6,3,4,Y,14 May 2021
EMP5409,  Christopher Williams   ,54.0,Female,Human Resources,Marketing Specialist,Life Sciences,1,17277.0,44,1140,17.0,14,16,9.0,5,1.0,1,,3.0,3,Travel_Frequently,MARRIED,9,No,14,3,1,1,No,26 Jul 2019
EMP2545,Barbara Brown,36.0,m,Research & Development,Financial Analyst,Marketing,1,9571.0,32,1325,25.0,1,6,40.0,7,4.0,3,4.0,3.0,3,Non-Travel,Married,18,,18,2,0,4,No,2019-12-21
EMP5490,  Margaret Miller   ,30.0,Male,Human Resources,Marketing Specialist,Marketing,3,19172.0,80,738,32.0,15,0,40.0,2,4.0,2,2.0,3.0,4,Travel_Rarely,Divorced,17,No,20,3,1,2,No,
EMP2141,John Moore,25.0,Male,IT,Laboratory Technician,Human Resources,1,13212.0,98,1244,21.0,3,15,28.0,4,1.0,4,3.0,3.0,1,Non-Travel,Single,18,No,14,0,3,2,No,N/A
EMP3867,Thomas Davis,,Male,,Software Engineer,Human Resources,2,10572.0,37,1363,33.0,16,14,8.0,1,4.0,1,3.0,3.0,2,Non-Travel,Divorced,30,No,23,5,2,4,Yes,6/22/2010
EMP4179,Sarah Davis,19.0,Female,R & D,Financial Analyst,Technical Degree,2,,37,491,1.0,0,2,,7,4.0,1,3.0,3.0,4,Travel_Rarely,Single,14,No,18,1,2,3,No,
EMP7046,Mary Miller,26.0,Male,,Operations Lead,Technical Degree,3,3749.0,77,712,31.0,15,2,40.0,4,3.0,3,1.0,,2,Non-Travel,Divorced,1,No,24,5,2,3,No,17 May 2018
EMP8321,William Brown,57.0,Female,IT,HR Representative,Medical,1,13531.0,75,993,3.0,3,1,40.0,8,3.0,1,1.0,3.0,3,Travel_Frequently,Divorced,15,Yes,18,1,0,2,1,13 Oct 2012
EMP2928,Robert Taylor,54.0,Female,Marketing,,Medical,1,19745.0,99,1045,34.0,15,0,34.0,9,,1,4.0,3.0,1,Travel_Rarely,Single,20,Yes,24,2,0,3,yes,N/A
EMP1459,Michael Garcia,35.0,Male,IT,Financial Analyst,Other,3,10871.0,72,622,19.0,15,9,39.0,8,3.0,1,3.0,3.0,4,Travel_Frequently,Divorced,26,0,15,1,1,4,No,2015/4/4
EMP7107,  Barbara Garcia   ,37.0,Female,Human Resources,,Human Resources,1,6418.0,75,621,19.0,12,6,40.0,8,,2,2.0,4.0,1,Travel_Rarely,Married,23,Yes,23,0,3,2,n,
EMP8287,Charles Thompson,32.0,Male,Research & Development,Software Engineer,Human Resources,4,14964.0,31,1091,13.0,8,12,35.0,3,,2,4.0,3.0,3,Non-Travel,Single,25,Y,13,1,3,2,y,27 Jul 2016
EMP8642,Ashley Anderson,22.0,M,R&D,Laboratory Technician,Human Resources,1,,79,1400,24.0,13,11,10.0,7,,4,3.0,3.0,3,Travel_Rarely,Divorced,29,No,18,1,1,3,No,5-10-2020
EMP4411,James Johnson,,Female,Marketing,Director,Human Resources,5,18235.0,47,424,11.0,2,12,25.0,8,4.0,3,2.0,3.0,2,Travel_Rarely,Divorced,10,No,15,4,0,1,N,
EMP5797,Michael Young,34.0,f,Finance,Research Scientist,Medical,2,8642.0,56,468,27.0,15,11,31.0,4,3.0,4,,3.0,1,Travel_Frequently,Divorced,19,Yes,13,3,3,3,Yes,2016-06-03
EMP1325,David Allen,,FEMALE,,Laboratory Technician,Technical Degree,5,14315.0,94,1322,30.0,13,16,29.0,6,2.0,2,2.0,3.0,3,Travel_Frequently,Divorced,2,0,21,1,0,2,No,9/12/2018
EMP2032,Thomas Johnson,-1.0,Male,Finance,,Marketing,4,1911.0,50,1023,18.0,10,5,,2,2.0,4,4.0,3.0,1,Non-Travel,Married,3,N,17,5,2,1,No,1/23/2016
EMP5984,Patricia Jones,35.0,Female,Sales,Sales Executive,Human Resources,5,15323.0,97,421,32.0,17,11,35.0,8,1.0,1,4.0,3.0,1,Travel_Rarely,Married,17,Yes,12,6,3,2,yes,unknown
EMP3193,Lisa Thomas,40.0,Female,Operations,Manager,Technical Degree,5,$4433.0,70,216,18.0,1,3,,9,3.0,4,4.0,3.0,3,Travel_Rarely,Divorced,18,No,14,6,2,3,0,N/A
EMP7281,Susan Wilson,43.0,MALE,Research & Development,Research Scientist,Human Resources,3,$3256.0,67,982,,5,3,,8,4.0,1,1.0,3.0,4,Non-Travel,Married,6,No,14,6,2,3,No,1 Sep 2013
EMP6622,Jennifer White,44.0,Male,Research & Development,Operations Lead,Human Resources,1,4499.0,76,403,15.0,1,12,27.0,4,2.0,1,4.0,3.0,2,Travel_Frequently,Married,24,Yes,13,0,1,2,1,
EMP1445,Christopher Williams,55.0,Male,Finance,HR Representative,Technical Degree,1,19865.0,94,752,4.0,0,1,26.0,8,3.0,3,3.0,4.0,2,Non-Travel,Divorced,9,No,21,4,0,4,No,2017-06-26
EMP6147,Sarah Thomas,59.0,Female,sales dept,Sales Executive,Human Resources,1,10099.0,70,1323,23.0,9,4,20.0,8,2.0,3,1.0,3.0,1,Travel_Rarely,Married,6,0,25,0,3,2,No,4/5/2013
EMP8836,Anthony Garcia,56.0,FEMALE,Sales,Software Engineer,Marketing,5,6034.0,44,1197,24.0,18,5,27.0,9,4.0,4,2.0,3.0,3,Travel_Rarely,Married,21,Yes ,15,2,3,1,No,11/28/2022
EMP5768,Anthony Jackson,42.0,Female,Marketing,Operations Lead,Other,4,13552.0,44,281,16.0,4,1,3.0,4,3.0,2,4.0,3.0,4,Travel_Frequently,Married,9,Yes,25,2,3,3,Yes,6/15/2012
EMP6592,Robert Moore,45.0,m,IT dept,Director,Medical,3,$8161.0,64,1092,20.0,2,13,34.0,4,4.0,3,2.0,3.0,2,Travel_Frequently,Married,9,No,13,6,3,2,YES,2020/10/22
EMP7020,Richard Davis,29.0,Male,Research & Development,Financial Analyst,Human Resources,5,6683.0,82,317,24.0,11,16,13.0,6,2.0,4,3.0,3.0,1,Travel_Frequently,Married,16,Y,18,3,2,3,No,8/14/2013
EMP2640,  Michael Young   ,24.0,Male,IT,Laboratory Technician,Marketing,4,,80,977,20.0,0,1,40.0,0,2.0,3,,3.0,2,Travel_Rarely,Single,11,No,15,6,0,3,NO,
EMP4739,William Young,58.0,Male,sales dept,Financial Analyst,Medical,5,7265.0,92,1362,28.0,15,17,1.0,7,2.0,1,2.0,4.0,2,Non-Travel,Divorced,10,No,19,6,0,4,No,11/5/2021
EMP3650,Lisa Brown,150.0,M,Finance,Financial Analyst,Life Sciences,3,3456.0,40,818,31.0,12,9,34.0,5,1.0,1,4.0,3.0,2,Non-Travel,Married,8,,20,2,2,2,Yes,unknown
EMP8227,Betty Johnson,unknown,Male,Finance,Marketing Specialist,Other,5,2744.0,52,563,9.0,6,3,28.0,1,2.0,1,2.0,3.0,2,Non-Travel,married,29,No,16,3,3,3,No,3-5-2015
EMP1244,Robert Jackson,52.0,MALE,,Manager,Medical,2,2430.0,73,657,11.0,1,8,9.0,6,3.0,3,1.0,,4,Non-Travel,Divorced,10,No,16,1,1,4,No,N/A
EMP5549,Mary Taylor,51.0,Male,Human Resources,Software Engineer,Marketing,3,15996.0,76,574,28.0,9,4,20.0,6,3.0,2,3.0,3.0,3,Travel_Frequently,Married,16,No,11,0,0,4,No,--
EMP7874,  Joseph Thompson   ,43.0,MALE,,Financial Analyst,Marketing,2,16976.0,58,876,27.0,4,11,38.0,6,4.0,2,1.0,3.0,3,Travel_Frequently,Married,24,No,21,2,2,1,No,16 Apr 2013
EMP7136,Michael Johnson,54.0,Female,human resources,Sales Executive,Other,2,19172.0,36,916,24.0,8,15,31.0,0,4.0,1,2.0,3.0,1,Non-Travel,Divorced,27,Yes,22,0,0,2,No,12/20/2015
EMP7724,Sarah Garcia,22.0,Female,Research & Development,Research Scientist,Medical,3,18468.0,71,613,27.0,11,1,16.0,0,4.0,1,4.0,4.0,3,Travel_Rarely,Divorced,7,0,11,0,2,2,No,--
EMP2740,Anthony Young,25.0,Male,Marketing,Research Scientist,Marketing,5,5930.0,80,1002,22.0,18,7,11.0,9,3.0,1,2.0,3.0,3,Travel_Frequently,Married,24,N,21,1,0,2,No,unknown
EMP6411,Robert Garcia,49.0,Male,Sales ,Software Engineer,Medical,5,14540.0,83,1329,7.0,7,2,2.0,4,4.0,3,,3.0,3,Travel_Rarely,MARRIED,14,Yes ,19,6,3,1,No,9/15/2015
EMP5300,Robert Davis,46.0,Female,sales dept,HR Representative,Medical,5,19279.0,89,483,32.0,12,0,23.0,3,2.0,2,1.0,3.0,3,Travel_Rarely,single,19,No,14,3,2,1,Yes ,unknown
EMP7349,Matthew Smith,52.0,MALE,human resources,Director,Technical Degree,3,,48,647,25.0,2,16,25.0,5,4.0,1,4.0,3.0,2,Travel_Rarely,divorced,19,Yes,12,2,2,3,No,7 Jan 2012
EMP2219,Mary Smith,54.0,Male,IT dept,Software Engineer,Medical,1,6093.0,55,714,,10,10,33.0,0,4.0,2,1.0,4.0,3,Travel_Frequently,MARRIED,26,,11,0,0,1,1,--
EMP3331,Susan Young,53.0,Male,Marketing,Director,Life Sciences,5,3703.0,61,582,18.0,4,13,28.0,9,4.0,3,3.0,3.0,4,Travel_Rarely,Single,26,,17,5,1,2,No,4/27/2014
EMP2954,Robert Harris,55.0,Male,sales,Marketing Specialist,Human Resources,3,13202.0,63,844,27.0,7,12,20.0,8,,1,2.0,3.0,1,Travel_Rarely,Divorced,29,No,12,2,3,1,No,N/A
EMP1971,Richard White**,30.0,Female,,Director,Human Resources,3,11422.0,34,314,28.0,0,15,24.0,4,1.0,3,3.0,3.0,2,Travel_Frequently,Divorced,21,,24,3,1,2,No,
EMP2787,Barbara Martin,,fEmale,Research & Development ,,Life Sciences,1,17599.0,35,988,5.0,6,6,32.0,4,3.0,4,3.0,3.0,3,Travel_Frequently,Divorced,10,Yes,23,1,2,2,YES,13 Jan 2015
EMP1162,Michael Jones,38.0,Male,Human Resources,Director,Life Sciences,5,12555.0,59,715,9.0,8,0,,4,1.0,3,,3.0,1,Travel_Rarely,Married,12,Yes,17,5,2,4,No,--
EMP6971,Thomas Allen,40.0,Male,IT,Operations Lead,Technical Degree,2,10915.0,89,1014,15.0,4,4,10.0,1,3.0,1,2.0,3.0,3,Non-Travel,single,9,No,22,1,0,2,No,3 Aug 2015
EMP4111,  Karen Thompson   ,50.0,male,Sales,Financial Analyst,Medical,3,17590.0,62,625,33.0,12,16,20.0,5,2.0,2,4.0,3.0,1,Non-Travel,Single,13,Yes,16,1,0,3,No,
EMP1112,Michael White,34.0,Female,Research & Development,Software Engineer,Life Sciences,5,7911.0,54,1061,0.0,1,1,3.0,8,4.0,2,3.0,3.0,3,Travel_Frequently,Single,5,No,11,4,0,4,1,11-1-2013
EMP3722,Karen Brown,42.0,Male,Research & Development,HR Representative,Life Sciences,5,14093.0,64,1381,3.0,0,3,1.0,9,3.0,3,,3.0,3,Travel_Rarely,Divorced,24,Yes,18,5,2,2,No,2016-05-25
EMP3352,Charles Johnson,,Male,IT,HR Representative,Marketing,2,6643.0,57,175,25.0,13,7,17.0,6,3.0,1,4.0,3.0,1,Travel_Frequently,divorced,3,Yes,16,5,3,4,YES,unknown
EMP2429,Susan Harris,50.0,Male,Operations,HR Representative,Life Sciences,4,8434.0,97,403,26.0,5,11,18.0,1,,2,1.0,3.0,3,Travel_Rarely,Married,16,No,16,6,1,3,N,27 Dec 2023
EMP5338,Margaret Garcia,56.0,Female,Sales,HR Representative,Other,3,,58,937,2.0,2,3,35.0,5,2.0,1,,3.0,2,Travel_Rarely,Single,20,,11,2,3,3,Yes,10/18/2011
EMP4637,Jessica Harris,22.0,Female,Marketing,Marketing Specialist,Life Sciences,5,,64,1097,6.0,4,7,,6,4.0,2,2.0,4.0,1,Non-Travel,divorced,5,,22,4,0,3,No,unknown
EMP3950,Charles Martin,54.0,fEmale,IT,Operations Lead,Human Resources,3,13269.0,51,817,19.0,3,5,16.0,1,1.0,2,1.0,3.0,1,Non-Travel,Married,21,No,11,1,0,3,No,2010-03-23
EMP1094,Richard Moore,36.0,female,Human Resources,Manager,Technical Degree,5,11874.0,66,142,28.0,15,12,24.0,5,2.0,1,4.0,3.0,3,Travel_Rarely,Divorced,13,No,17,2,2,4,n,unknown
EMP1387,Daniel Thomas,33.0,Female,IT,Research Scientist,Human Resources,2,1655.0,99,552,25.0,17,0,13.0,1,2.0,1,2.0,4.0,2,Travel_Rarely,Married,13,Yes,24,2,1,4,No,2017-09-11
EMP6884,Mary Moore,26.0,Female,,Software Engineer,Life Sciences,3,10163.0,35,515,17.0,16,2,39.0,1,3.0,1,4.0,3.0,1,Travel_Frequently,Married,5,No,16,4,0,3,Yes,18-11-2013
EMP1275,Margaret Jones,59.0,Female,Sales ,Software Engineer,Life Sciences,5,13704.0,99,451,17.0,14,11,40.0,1,1.0,4,3.0,3.0,2,Travel_Rarely,Married,11,No,24,5,1,2,y,12/13/2017
EMP3038,Daniel Thomas,26.0,Male,Human Resources,Software Engineer,Technical Degree,2,18927.0,44,1079,10.0,11,5,,3,,3,2.0,4.0,2,Non-Travel,married,17,Y,12,0,3,3,No,
EMP6930,Sarah Thompson,29.0,Male,human resources,Operations Lead,Human Resources,4,3004.0,86,455,18.0,0,6,39.0,5,2.0,1,4.0,3.0,4,Travel_Rarely,Single,17,,20,5,2,4,NO,2022-02-23
EMP1727,Robert Harris,18.0,Female,Research & Development,Financial Analyst,Other,5,12335.0,95,1357,3.0,0,1,2.0,1,2.0,1,3.0,4.0,2,Travel_Frequently,Married,30,Yes,20,2,0,3,No,2013-08-18
EMP2881,Karen Garcia,60.0,Male,R & D,Software Engineer,Technical Degree,3,13111.0,73,676,1.0,1,1,20.0,9,4.0,4,4.0,4.0,3,Non-Travel,Married,1,No,22,0,1,1,No,2010/3/15
EMP3015,Karen Thomas,,F,Operations,Research Scientist,Life Sciences,2,19230.0,70,1262,1.0,2,1,9.0,3,1.0,4,4.0,3.0,3,Travel_Frequently,single,9,,22,3,3,3,y,unknown
EMP7454,Anthony Anderson??,51.0,Male,Human resources,Operations Lead,Other,1,12532.0,50,1285,13.0,1,10,20.0,4,3.0,3,4.0,3.0,2,Non-Travel,Single,8,yes,23,0,3,2,No,3-9-2017
EMP3981,Ashley Garcia,25.0,Male,Operations,Software Engineer,Human Resources,3,2373.0,89,1300,22.0,2,9,,4,,1,1.0,,3,Travel_Frequently,MARRIED,14,Yes,20,0,3,2,0,2017-01-16
EMP8591,  Lisa Brown   ,,Female,Sales,Manager,Medical,3,5753.0,94,643,6.0,0,7,,0,4.0,1,4.0,4.0,3,Travel_Rarely,Single,24,No,20,5,1,1,1,
EMP4227,William Harris,23.0,Male,,Marketing Specialist,Life Sciences,2,3294.0,50,600,16.0,0,15,3.0,8,1.0,3,2.0,4.0,4,Non-Travel,Single,9,Yes,19,4,2,4,no ,16 Oct 2024
EMP4636,Ashley Thomas,,Female,Research & Development,Financial Analyst,Other,4,9468.0,82,182,23.0,12,15,11.0,2,4.0,2,2.0,,2,Travel_Rarely,Single,19,No,15,1,1,1,Yes,
EMP5298,Joseph Thompson,44.0,F,Marketing,Research Scientist,Marketing,5,17580.0,32,534,28.0,3,6,10.0,5,2.0,3,1.0,3.0,3,Non-Travel,Married,19,Yes,19,0,1,4,y,unknown
EMP4083,John Jackson,,M,Finance,Operations Lead,Life Sciences,2,4030.0,64,345,1.0,0,2,,5,3.0,4,2.0,3.0,1,Non-Travel,Married,20,No,17,1,2,2,No,N/A
EMP8211,Michael Garcia,33.0,Female,Marketing,Sales Executive,Marketing,3,5915.0,71,729,17.0,3,10,36.0,8,3.0,4,1.0,3.0,3,Non-Travel,Married,2,N,22,5,0,2,No,19-10-2014
EMP5818,Lisa Moore,19.0,male,,Laboratory Technician,Human Resources,1,7387.0,46,185,28.0,0,6,4.0,5,3.0,3,1.0,3.0,1,Non-Travel,Single,1,yes,20,0,3,4,Yes ,4 Apr 2021
EMP1705,Patricia Harris,45.0,Female,Finance,Manager,Technical Degree,5,18257.0,86,336,20.0,6,1,26.0,5,1.0,2,2.0,4.0,1,Travel_Frequently,single,7,Yes,14,6,1,2,No,N/A
EMP3011,David Wilson,,Female,Finance,Sales Executive,Other,4,10869.0,95,199,19.0,13,4,20.0,9,,2,4.0,3.0,2,Non-Travel,Divorced,20,No,11,3,1,4,No,unknown
EMP4416,Anthony White,N/A,f,Human Resources,Financial Analyst,Marketing,5,11142.0,39,788,17.0,15,9,40.0,5,2.0,2,3.0,3.0,1,Travel_Frequently,Single,17,No,17,4,3,3,No,N/A
EMP5503,Jennifer Garcia$$,,Male,,,Other,5,10581.0,48,754,7.0,4,2,21.0,5,1.0,3,4.0,3.0,1,Travel_Rarely,Single,16,No,22,2,2,2,Yes,5/18/2016
EMP4165,Sandra Anderson,54.0,Female,Finance,,Life Sciences,4,19894.0,31,155,7.0,3,1,22.0,1,4.0,2,3.0,3.0,2,Travel_Rarely,Married,19,,24,5,1,1,No,
EMP6566,Robert White,35.0,fEmale,Operations,,Life Sciences,3,3903.0,67,317,18.0,4,0,36.0,9,3.0,4,4.0,4.0,3,Travel_Rarely,Divorced,21,No,14,2,3,2,No,18-10-2023
EMP6525,James Wilson,39.0,Female,Human Resources,Sales Executive,Medical,3,10333.0,97,325,20.0,1,8,10.0,2,,3,2.0,3.0,4,Travel_Frequently,Married,18,,19,3,1,3,NO,2014-06-27
EMP4052,Jennifer White,46.0,Male,,Operations Lead,Medical,1,9950.0,53,842,21.0,1,8,33.0,4,2.0,1,2.0,3.0,3,Travel_Rarely,Single,16,Yes,20,2,3,2,Y,2022/2/11
EMP1121,James Miller**,58.0,Male,,Research Scientist,Marketing,5,13735.0,97,1212,25.0,17,7,30.0,4,2.0,4,1.0,4.0,3,Travel_Rarely,Single,9,yes,21,6,0,4,No,
EMP2741,Barbara Thompson,40.0,Female,Sales,Sales Executive,Other,1,14458.0,84,735,13.0,7,8,12.0,9,,1,3.0,3.0,4,Travel_Frequently,Married,18,No,25,1,3,3,YES,5/17/2020
EMP1102,Betty Thompson,28.0,Male,,Laboratory Technician,Life Sciences,3,2533.0,82,1161,28.0,0,11,32.0,5,4.0,4,3.0,3.0,2,Non-Travel,married,4,No,11,6,3,4,No,unknown
EMP8940,Nancy Taylor,59.0,Male,Human resources,Sales Executive,Marketing,5,10520.0,97,776,21.0,12,6,,9,2.0,2,3.0,3.0,4,Travel_Rarely,Single,15,No,24,6,1,2,No,N/A
EMP3520,Sandra Jackson,23.0,Male,,HR Representative,Other,1,3455.0,55,539,20.0,0,16,33.0,9,2.0,3,,3.0,3,Non-Travel,single,5,No,25,2,2,3,0,4/1/2015
EMP4503,Margaret Anderson,44.0,f,IT,Research Scientist,Marketing,5,6285.0,58,641,20.0,1,15,22.0,6,1.0,3,3.0,3.0,1,Travel_Frequently,Married,7,yes,22,6,2,1,Yes ,1-9-2021
EMP6030,Anthony Jones,53.0,Female,,Research Scientist,Medical,1,$14943.0,64,861,11.0,4,0,25.0,9,2.0,1,,3.0,3,Non-Travel,Single,8,N,15,4,1,3,Yes,
EMP5585,Matthew Anderson,44.0,M,Human Resources,Manager,Human Resources,2,14378.0,51,250,20.0,0,6,17.0,4,2.0,4,1.0,3.0,2,Travel_Frequently,Single,28,Yes,17,4,1,3,Yes,N/A
EMP2276,John Smith,26.0,f,Research & Development,,Technical Degree,1,16707.0,99,1111,23.0,17,4,18.0,9,3.0,3,2.0,3.0,3,Non-Travel,Married,25,Yes,25,4,3,2,Y,21 Aug 2011
EMP5740,Margaret Taylor,20.0,Male,Research & Development,Software Engineer,Medical,5,2303.0,91,295,16.0,0,5,12.0,7,3.0,4,4.0,3.0,1,Travel_Rarely,Divorced,16,No,15,6,0,4,No,--
EMP8948,John Smith,46.0,f,Finance ,Director,Life Sciences,1,13939.0,41,876,22.0,6,12,10.0,2,,2,4.0,4.0,1,Travel_Frequently,Single,5,0,24,5,0,3,No,2/10/2010
EMP1378,William Taylor,40.0,Female,it,,Life Sciences,3,7932.0,68,295,20.0,17,2,,8,3.0,3,2.0,,3,Travel_Rarely,Married,17,No,22,3,0,1,No,2018-03-22
EMP4571,Ashley Moore,44.0,f,Research & Development ,Software Engineer,Life Sciences,4,14071.0,32,1185,20.0,11,14,36.0,8,3.0,2,4.0,3.0,2,Travel_Rarely,Single,13,Yes,19,5,2,1,1,unknown
EMP4950,Nancy Johnson,24.0,Female,Finance,Financial Analyst,Medical,1,-500.0,54,1100,16.0,12,9,9.0,7,2.0,1,4.0,3.0,1,Non-Travel,married,22,yes,12,3,1,1,No,2012/1/25
EMP7618,Christopher Smith,53.0,Female,,HR Representative,Human Resources,5,$5000,33,1214,25.0,16,5,35.0,6,1.0,1,1.0,3.0,4,Travel_Frequently,MARRIED,21,Yes,20,1,3,1,No,2021/2/15
EMP5533,Barbara Allen,,Female,IT,Director,Marketing,3,10264.0,46,811,29.0,5,11,39.0,6,2.0,1,3.0,,1,Travel_Frequently,Divorced,1,Yes,13,0,0,2,No,2015-07-01
EMP3039,John Thompson,35.0,Male,Marketing,Director,Other,3,7653.0,71,222,0.0,1,1,11.0,1,3.0,1,4.0,4.0,3,Travel_Rarely,Single,5,No,16,6,2,3,No,2/22/2017
EMP3123,Linda Young,57.0,Female,,Sales Executive,Medical,5,19201.0,77,1129,15.0,15,8,,1,4.0,2,4.0,3.0,1,Non-Travel,Single,30,,16,1,1,2,No,11/10/2010
EMP2202,Richard Martin,51.0,female,Sales,Manager,Marketing,4,2540.0,78,384,19.0,1,17,35.0,6,2.0,1,1.0,,2,Travel_Frequently,Single,17,Yes,11,6,0,2,No,14 Jul 2014
EMP6010,Michael Smith,21.0,FEMALE,Marketing,Operations Lead,Technical Degree,5,7881.0,92,657,,7,0,,0,,2,3.0,3.0,3,Travel_Rarely,SINGLE,19,No,25,3,1,2,NO,
