EmployeeID,EmployeeName,Age,Gender,Department,JobRole,EducationField,Education,MonthlyIncome,HourlyRate,DailyRate,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,RelationshipSatisfaction,BusinessTravel,MaritalStatus,DistanceFromHome,OverTime,PercentSalaryHike,TrainingTimesLastYear,StockOptionLevel,JobInvolvement,Attrition,JoiningDate,Attrition_Flag,Age_Group,Income_Band,Tenure_Group,Avg_Satisfaction,High_Risk,Joining_Year,Joining_Month
EMP6971,Thomas Allen,40.0,Male,IT,Operations Lead,Technical Degree,2,10915.0,89,1014,15.0,4,4,10.0,1,3.0,1,2.0,3.0,3,Non-Travel,single,9,No,22,1,0,2,No,2015-08-03,0.0,36-45,Very High,8–15 yrs,2.0,0,2015,8
EMP3950,Charles Martin,54.0,fEmale,IT,Operations Lead,Human Resources,3,13269.0,51,817,19.0,3,5,16.0,1,1.0,2,1.0,3.0,1,Non-Travel,Married,21,No,11,1,0,3,No,2010-03-23,0.0,46-60,Very High,15+ yrs,1.3333333333333333,0,2010,3
EMP1387,Daniel Thomas,33.0,Female,IT,Research Scientist,Human Resources,2,1655.0,99,552,25.0,17,0,13.0,1,2.0,1,2.0,4.0,2,Travel_Rarely,Married,13,Yes,24,2,1,4,No,2017-11-09,0.0,26-35,Low,15+ yrs,1.6666666666666667,0,2017,11
EMP1727,Robert Harris,18.0,Female,Research & Development,Financial Analyst,Other,5,12335.0,95,1357,3.0,0,1,2.0,1,2.0,1,3.0,4.0,2,Travel_Frequently,Married,30,Yes,20,2,0,3,No,2013-08-18,0.0,18-25,Very High,1–3 yrs,2.0,0,2013,8
EMP2881,Karen Garcia,60.0,Male,R & D,Software Engineer,Technical Degree,3,13111.0,73,676,1.0,1,1,20.0,9,4.0,4,4.0,4.0,3,Non-Travel,Married,1,No,22,0,1,1,No,2010-03-15,0.0,46-60,Very High,<1 yr,4.0,0,2010,3
EMP7454,Anthony Anderson??,51.0,Male,Human resources,Operations Lead,Other,1,12532.0,50,1285,13.0,1,10,20.0,4,3.0,3,4.0,3.0,2,Non-Travel,Single,8,yes,23,0,3,2,No,2017-09-03,0.0,46-60,Very High,8–15 yrs,3.3333333333333335,0,2017,9
EMP8211,Michael Garcia,33.0,Female,Marketing,Sales Executive,Marketing,3,5915.0,71,729,17.0,3,10,36.0,8,3.0,4,1.0,3.0,3,Non-Travel,Married,2,N,22,5,0,2,No,2014-10-19,0.0,26-35,Medium,15+ yrs,2.6666666666666665,0,2014,10
EMP3039,John Thompson,35.0,Male,Marketing,Director,Other,3,7653.0,71,222,0.0,1,1,11.0,1,3.0,1,4.0,4.0,3,Travel_Rarely,Single,5,No,16,6,2,3,No,2017-02-22,0.0,26-35,High,<1 yr,2.6666666666666665,0,2017,2
EMP6726,Jessica Taylor,42.0,Female,IT dept,Director,Technical Degree,3,4130.0,64,1343,31.0,2,8,3.0,8,4.0,2,3.0,3.0,1,Non-Travel,Married,10,YES,15,5,1,2,No,2021-05-09,0.0,36-45,Medium,15+ yrs,3.0,0,2021,5
EMP3350,David Garcia,51.0,Male,IT,HR Representative,Other,4,10525.0,48,721,2.0,3,0,4.0,5,4.0,1,2.0,4.0,3,Non-Travel,Single,5,Yes,12,6,2,4,No,2023-01-02,0.0,46-60,Very High,1–3 yrs,2.3333333333333335,0,2023,1
EMP1950,Karen Wilson,56.0,FEMALE,Research & Development,Software Engineer,Technical Degree,4,19310.0,39,679,5.0,3,4,12.0,4,1.0,1,1.0,3.0,4,Travel_Rarely,Divorced,23,Yes,22,3,2,4,No,2013-11-06,0.0,46-60,Very High,4–7 yrs,1.0,0,2013,11
EMP5823,Sarah Allen,32.0,Male,Research & Development,Software Engineer,Other,5,5470.0,51,1029,26.0,13,13,14.0,0,4.0,3,4.0,3.0,1,Travel_Frequently,Single,21,Yes,13,0,1,2,Yes,2015-01-16,1.0,26-35,Medium,15+ yrs,3.6666666666666665,0,2015,1
EMP2285,Richard Wilson,53.0,m,Human Resources,Software Engineer,Technical Degree,4,14777.0,52,197,6.0,1,3,10.0,7,1.0,3,1.0,3.0,2,Non-Travel,Single,23,Y,15,4,1,3,Yes,2021-12-25,1.0,46-60,Very High,4–7 yrs,1.6666666666666667,0,2021,12
EMP2763,Nancy Jones,42.0,m,IT dept,Financial Analyst,Medical,3,9368.0,55,928,12.0,1,4,10.0,1,1.0,1,1.0,3.0,2,Non-Travel,Divorced,12,Yes,20,4,3,2,No,2019-08-06,0.0,36-45,High,8–15 yrs,1.0,0,2019,8
EMP1901,Patricia Davis,20.0,Female,Sales,Operations Lead,Other,5,14352.0,47,993,21.0,11,1,4.0,7,4.0,1,2.0,3.0,4,Non-Travel,Married,6,NO,15,6,2,1,No,2020-09-12,0.0,18-25,Very High,15+ yrs,2.3333333333333335,0,2020,9
EMP8460,Jessica Thompson,29.0,FEMALE,R & D,Financial Analyst,Other,3,7913.0,51,1352,18.0,0,17,7.0,4,4.0,4,1.0,3.0,1,Travel_Frequently,Married,1,No,22,0,2,2,No,2020-07-19,0.0,26-35,High,15+ yrs,3.0,0,2020,7
EMP6684,Joseph Miller,20.0,Male,Operations,Manager,Medical,5,11849.0,68,748,11.0,8,7,35.0,2,3.0,2,4.0,3.0,1,Non-Travel,MARRIED,11,No,17,3,3,2,No,2016-01-17,0.0,18-25,Very High,8–15 yrs,3.0,0,2016,1
EMP3397,Nancy Thompson,18.0,M,Finance ,Manager,Life Sciences,4,7470.0,92,575,21.0,11,12,18.0,0,1.0,3,3.0,3.0,3,Travel_Frequently,Single,7,No,11,6,1,1,No,2015-08-21,0.0,18-25,High,15+ yrs,2.3333333333333335,0,2015,8
EMP1158,David Davis,50.0,Male,Sales,Laboratory Technician,Marketing,3,2008.0,74,831,32.0,11,3,19.0,5,2.0,2,3.0,3.0,3,Non-Travel,Divorced,17,YES,12,5,2,2,Yes,2023-10-15,1.0,46-60,Low,15+ yrs,2.3333333333333335,0,2023,10
EMP5154,  Ashley Taylor   ,31.0,Female,Sales,Laboratory Technician,Other,2,7951.0,45,679,33.0,3,15,17.0,4,3.0,1,2.0,3.0,4,Travel_Rarely,Single,22,YES,24,6,1,4,Yes,2010-03-22,1.0,26-35,High,15+ yrs,2.0,0,2010,3
EMP8734,David Davis,46.0,Female,Operations,Laboratory Technician,Human Resources,1,18509.0,42,1127,14.0,10,3,17.0,2,1.0,2,4.0,3.0,1,Travel_Rarely,Divorced,16,yes,12,3,3,4,No,2011-12-23,0.0,46-60,Very High,8–15 yrs,2.3333333333333335,0,2011,12
EMP5401,Sandra Jackson,40.0,Male,Finance,Laboratory Technician,Human Resources,4,9673.0,58,1267,30.0,16,9,15.0,7,2.0,1,1.0,3.0,1,Travel_Rarely,Married,2,Y,11,1,2,4,No,2014-02-19,0.0,36-45,High,15+ yrs,1.3333333333333333,0,2014,2
EMP8125,Betty Wilson,23.0,Male,Human Resources,Financial Analyst,Other,1,6450.0,44,673,11.0,5,0,12.0,7,2.0,2,2.0,3.0,4,Travel_Rarely,Single,5,No,15,5,3,1,No,2020-12-21,0.0,18-25,High,8–15 yrs,2.0,0,2020,12
EMP1885,Joseph Allen,30.0,Female,SALES,Director,Other,2,3890.0,54,830,6.0,1,1,36.0,9,2.0,1,3.0,3.0,1,Travel_Frequently,Married,27,no,16,4,3,3,Yes,2020-04-05,1.0,26-35,Medium,4–7 yrs,2.0,0,2020,4
EMP6524,Sarah Miller,18.0,mAle,Human Resources,Financial Analyst,Other,3,4868.0,49,256,0.0,1,1,7.0,8,3.0,4,2.0,3.0,3,Travel_Rarely,Married,20,Yes,11,4,1,3,No,2011-01-08,0.0,18-25,Medium,<1 yr,3.0,0,2011,1
EMP5913,Ashley Davis,48.0,Male,Human Resources,Marketing Specialist,Medical,5,16209.0,63,1060,31.0,9,4,32.0,7,2.0,2,4.0,3.0,3,Non-Travel,Single,29,No,16,4,0,2,No,2016-09-21,0.0,46-60,Very High,15+ yrs,2.6666666666666665,0,2016,9
EMP4063,Susan Taylor,52.0,Female,Finance,Operations Lead,Human Resources,1,19105.0,52,704,30.0,15,1,37.0,9,2.0,1,3.0,3.0,1,Travel_Frequently,Single,14,yes,11,3,3,2,No,2013-11-12,0.0,46-60,Very High,15+ yrs,2.0,0,2013,11
EMP7457,Ashley Jones,34.0,Female,Human Resources,Marketing Specialist,Life Sciences,4,8628.0,67,1104,2.0,2,1,22.0,8,4.0,2,2.0,3.0,4,Non-Travel,Divorced,12,No,13,5,2,2,No,2019-02-13,0.0,26-35,High,1–3 yrs,2.6666666666666665,0,2019,2
EMP3625,Mark Miller,50.0,Female,SALES,Financial Analyst,Technical Degree,4,13471.0,46,938,12.0,13,2,30.0,9,2.0,3,3.0,3.0,4,Non-Travel,Divorced,22,Yes,21,3,2,1,No,2010-06-22,0.0,46-60,Very High,8–15 yrs,2.6666666666666665,0,2010,6
EMP6872,Nancy Davis,57.0,fEmale,it,Marketing Specialist,Life Sciences,5,11998.0,49,1384,28.0,15,6,31.0,0,4.0,2,4.0,3.0,3,Travel_Rarely,Married,29,Yes,17,6,3,1,No,2020-09-14,0.0,46-60,Very High,15+ yrs,3.3333333333333335,0,2020,9
EMP1540,Richard Jackson,36.0,Female,Sales,Financial Analyst,Marketing,2,2007.0,60,625,30.0,4,1,1.0,1,1.0,1,3.0,3.0,4,Travel_Frequently,Married,14,No,22,1,2,2,No,2016-07-06,0.0,36-45,Low,15+ yrs,1.6666666666666667,0,2016,7
EMP1479,Betty Allen,25.0,Female,Human Resources,Sales Executive,Life Sciences,5,12912.0,66,1057,13.0,10,7,16.0,1,3.0,2,4.0,3.0,1,Travel_Frequently,Divorced,9,Yes,19,6,1,4,No,2024-07-15,0.0,18-25,Very High,8–15 yrs,3.0,0,2024,7
EMP7421,Margaret Miller,60.0,Male,Marketing,Software Engineer,Life Sciences,1,19909.0,48,1377,7.0,6,8,22.0,6,3.0,1,2.0,3.0,3,Travel_Rarely,Married,7,No,21,6,1,1,Yes,2023-11-19,1.0,46-60,Very High,4–7 yrs,2.0,0,2023,11
EMP5830,Richard Smith,58.0,Male,Sales,HR Representative,Marketing,4,14842.0,64,727,12.0,3,12,39.0,8,2.0,3,3.0,3.0,4,Travel_Rarely,divorced,10,yes,25,5,2,1,No,2010-07-23,0.0,46-60,Very High,8–15 yrs,2.6666666666666665,0,2010,7
EMP3593,David Martin,36.0,Female,Finance,Manager,Marketing,5,6389.0,83,332,32.0,16,8,16.0,6,1.0,2,1.0,3.0,1,Non-Travel,married,13,No,12,5,3,3,No,2012-09-20,0.0,36-45,High,15+ yrs,1.3333333333333333,0,2012,9
EMP4547,Nancy Allen,18.0,Female,Finance,Software Engineer,Technical Degree,1,7157.0,48,915,17.0,8,9,33.0,6,2.0,1,2.0,3.0,3,Travel_Frequently,Married,13,No,24,3,2,2,Yes,2013-01-27,1.0,18-25,High,15+ yrs,1.6666666666666667,0,2013,1
EMP1460,  Karen Jones   ,53.0,fEmale,R & D,Marketing Specialist,Human Resources,2,15970.0,46,939,13.0,3,11,35.0,0,3.0,4,2.0,3.0,1,Travel_Frequently,single,18,No,24,3,3,4,No,2017-11-22,0.0,46-60,Very High,8–15 yrs,3.0,0,2017,11
EMP2417,Nancy Brown,39.0,Male,Human Resources,HR Representative,Human Resources,4,12678.0,49,329,8.0,6,4,20.0,1,2.0,2,1.0,3.0,2,Travel_Frequently,Married,19,Yes,25,5,0,1,No,2010-01-13,0.0,36-45,Very High,8–15 yrs,1.6666666666666667,0,2010,1
EMP7655,Betty Wilson,42.0,Male,Operations,Laboratory Technician,Medical,4,8702.0,69,1202,8.0,2,6,31.0,0,4.0,2,3.0,3.0,4,Travel_Frequently,Married,18,No,19,0,1,2,Yes,2019-09-23,1.0,36-45,High,8–15 yrs,3.0,0,2019,9
EMP8759,Matthew Taylor,42.0,fEmale,Human Resources,Operations Lead,Life Sciences,2,18287.0,47,1018,3.0,1,2,18.0,0,4.0,3,1.0,3.0,3,Travel_Frequently,Divorced,4,No,15,0,0,2,No,2011-06-05,0.0,36-45,Very High,1–3 yrs,2.6666666666666665,0,2011,6
EMP3644,Lisa Brown,60.0,Male,Marketing,Research Scientist,Other,5,10360.0,55,224,24.0,14,13,12.0,6,1.0,1,4.0,3.0,1,Travel_Rarely,Divorced,1,Yes,13,3,1,3,No,2022-12-17,0.0,46-60,Very High,15+ yrs,2.0,0,2022,12
EMP7816,Richard Wilson,20.0,Female,Operations,Financial Analyst,Technical Degree,3,18627.0,84,144,17.0,15,6,18.0,9,4.0,3,4.0,3.0,3,Travel_Rarely,Married,19,No,12,2,3,2,No,2018-09-25,0.0,18-25,Very High,15+ yrs,3.6666666666666665,0,2018,9
EMP5420,Linda Smith,28.0,Male,R&D,Financial Analyst,Other,1,9804.0,88,1010,3.0,4,4,38.0,3,2.0,2,4.0,3.0,3,Travel_Frequently,Divorced,2,Yes,25,0,2,1,No,2017-10-04,0.0,26-35,High,1–3 yrs,2.6666666666666665,0,2017,10
EMP3768,Betty Thomas,53.0,Male,Research & Development,Operations Lead,Life Sciences,2,2392.0,31,571,34.0,6,6,0.0,4,1.0,4,4.0,3.0,1,Non-Travel,Married,28,No,12,5,0,1,No,2015-01-22,0.0,46-60,Low,15+ yrs,3.0,0,2015,1
EMP8388,Jennifer White,49.0,Female,Operations,Software Engineer,Other,5,17410.0,82,584,18.0,14,5,36.0,5,2.0,3,4.0,3.0,3,Travel_Frequently,Married,6,No,18,3,1,2,No,2020-11-26,0.0,46-60,Very High,15+ yrs,3.0,0,2020,11
EMP3021,Patricia Brown,19.0,female,Sales,Software Engineer,Medical,3,7437.0,99,624,1.0,2,1,31.0,8,4.0,1,1.0,3.0,4,Non-Travel,Married,5,1,17,3,1,4,No,2017-01-20,0.0,18-25,High,<1 yr,2.0,0,2017,1
EMP7204,  Jennifer Harris   ,60.0,M,Operations,Laboratory Technician,Human Resources,1,4424.0,45,529,18.0,15,5,4.0,8,1.0,4,1.0,3.0,3,Travel_Frequently,Married,1,0,12,1,3,3,Yes,2010-12-14,1.0,46-60,Medium,15+ yrs,2.0,0,2010,12
EMP3381,Matthew Brown,37.0,Male,IT,Marketing Specialist,Other,5,3459.0,89,505,29.0,1,0,24.0,6,1.0,3,2.0,4.0,1,Travel_Frequently,Single,19,No,14,6,0,1,No,2021-10-16,0.0,36-45,Medium,15+ yrs,2.0,0,2021,10
EMP6838,Barbara Moore,19.0,M,R & D,Research Scientist,Medical,2,1639.0,56,1231,5.0,2,0,20.0,5,4.0,4,1.0,4.0,3,Non-Travel,Married,2,No,21,1,3,4,No,2017-09-22,0.0,18-25,Low,4–7 yrs,3.0,0,2017,9
EMP1582,Joseph Thompson,48.0,Male,Marketing,Marketing Specialist,Other,5,1980.0,51,725,2.0,2,3,9.0,8,1.0,2,4.0,4.0,4,Non-Travel,SINGLE,1,Yes,22,4,3,4,No,2013-06-23,0.0,46-60,Low,1–3 yrs,2.3333333333333335,0,2013,6
EMP7013,Patricia Davis,48.0,Female,Research & Development ,Operations Lead,Other,5,19719.0,49,856,9.0,10,0,23.0,0,3.0,3,4.0,3.0,4,Non-Travel,divorced,8,Yes,17,6,0,4,No,2019-06-20,0.0,46-60,Very High,8–15 yrs,3.3333333333333335,0,2019,6
EMP6066,Matthew Allen,52.0,Male,Human Resources,Manager,Human Resources,1,3079.0,65,219,13.0,12,14,19.0,3,3.0,2,3.0,3.0,3,Travel_Frequently,Divorced,8,NO,18,4,2,4,No,2011-06-12,0.0,46-60,Medium,8–15 yrs,2.6666666666666665,0,2011,6
EMP8374,Anthony Moore,21.0,Male,Research & Development,Financial Analyst,Life Sciences,1,19080.0,48,489,1.0,0,0,36.0,1,1.0,2,4.0,3.0,1,Travel_Rarely,DIVORCED,29,NO,17,3,2,1,No,2016-07-14,0.0,18-25,Very High,<1 yr,2.3333333333333335,0,2016,7
EMP2078,Daniel Johnson,28.0,Male,Research & Development,HR Representative,Other,5,17440.0,86,562,4.0,3,5,19.0,4,1.0,4,3.0,3.0,1,Non-Travel,Divorced,27,0,24,2,2,1,No,2017-12-23,0.0,26-35,Very High,4–7 yrs,2.6666666666666665,0,2017,12
EMP6526,Margaret White,50.0,f,Finance ,Marketing Specialist,Other,5,16478.0,63,138,26.0,14,5,1.0,0,3.0,1,2.0,3.0,3,Travel_Rarely,Divorced,1,1,11,0,0,4,No,2019-03-10,0.0,46-60,Very High,15+ yrs,2.0,0,2019,3
EMP8646,Mark Young,48.0,Female,IT,Research Scientist,Technical Degree,2,9824.0,36,287,0.0,1,0,40.0,3,4.0,1,2.0,3.0,4,Travel_Frequently,married,23,Yes,22,5,0,4,No,2023-09-20,0.0,46-60,High,<1 yr,2.3333333333333335,0,2023,9
EMP3402,Anthony Harris,25.0,Female,human resources,Research Scientist,Life Sciences,4,18008.0,66,771,24.0,1,13,15.0,6,1.0,1,3.0,4.0,1,Travel_Frequently,Married,7,Yes,21,5,2,4,No,2019-02-25,0.0,18-25,Very High,15+ yrs,1.6666666666666667,0,2019,2
EMP2095,  Mark Martin   ,52.0,Male,sales dept,Operations Lead,Marketing,2,10002.0,38,716,27.0,13,13,15.0,8,4.0,2,2.0,3.0,4,Travel_Rarely,Single,10,Yes,20,5,1,3,No,2012-07-05,0.0,46-60,Very High,15+ yrs,2.6666666666666665,0,2012,7
EMP6039,William Jackson,54.0,Male,Human Resources,Financial Analyst,Medical,3,2557.0,91,1368,35.0,2,17,25.0,8,3.0,1,1.0,3.0,4,Non-Travel,Single,4,Yes,24,5,0,3,Yes,2019-03-04,1.0,46-60,Low,15+ yrs,1.6666666666666667,0,2019,3
EMP3452,Christopher Brown,41.0,Female,sales,Software Engineer,Marketing,2,17526.0,35,719,13.0,14,8,23.0,3,1.0,3,1.0,3.0,1,Non-Travel,Single,3,Yes,23,1,1,1,No,2016-07-25,0.0,36-45,Very High,8–15 yrs,1.6666666666666667,0,2016,7
EMP2057,Jessica Taylor,23.0,Female,IT,Operations Lead,Life Sciences,1,6783.0,80,963,13.0,3,4,39.0,6,1.0,3,3.0,3.0,1,Non-Travel,Single,26,No,15,2,0,4,No,2016-12-05,0.0,18-25,High,8–15 yrs,2.3333333333333335,0,2016,12
EMP1134,Betty Wilson$$,22.0,Female,Finance,Manager,Other,3,6926.0,43,874,6.0,5,3,5.0,5,3.0,3,2.0,3.0,2,Travel_Frequently,Married,29,Yes,18,1,0,3,No,2019-01-11,0.0,18-25,High,4–7 yrs,2.6666666666666665,0,2019,1
EMP7001,Lisa Harris,31.0,Male,Operations,Manager,Marketing,2,2655.0,32,873,6.0,3,5,4.0,3,3.0,4,2.0,3.0,1,Non-Travel,Divorced,10,No,25,0,2,1,No,2023-10-18,0.0,26-35,Low,4–7 yrs,3.0,0,2023,10
EMP5310,Matthew Jones,20.0,F,Marketing,Financial Analyst,Human Resources,2,14997.0,87,1252,17.0,16,16,26.0,2,2.0,2,1.0,3.0,4,Non-Travel,Divorced,3,Yes,22,4,3,3,No,2015-12-13,0.0,18-25,Very High,15+ yrs,1.6666666666666667,0,2015,12
EMP6440,Christopher Taylor,57.0,Male,R & D,Laboratory Technician,Technical Degree,3,3781.0,70,1191,4.0,1,5,24.0,5,2.0,2,2.0,3.0,2,Non-Travel,SINGLE,27,No,22,1,2,1,No,2022-01-28,0.0,46-60,Medium,4–7 yrs,2.0,0,2022,1
EMP1101,Sandra Garcia,56.0,mAle,Finance,HR Representative,Life Sciences,5,18702.0,56,1316,22.0,18,5,37.0,6,4.0,3,3.0,3.0,2,Non-Travel,Single,26,No,12,0,0,4,No,2013-12-18,0.0,46-60,Very High,15+ yrs,3.3333333333333335,0,2013,12
EMP7563,Sarah Martin,25.0,Male,IT,Laboratory Technician,Life Sciences,2,5758.0,100,1034,11.0,5,6,2.0,7,1.0,2,1.0,3.0,2,Non-Travel,Single,2,0,18,2,3,3,No,2011-07-21,0.0,18-25,Medium,8–15 yrs,1.3333333333333333,0,2011,7
EMP3292,Patricia Jackson,52.0,M,H.R,Marketing Specialist,Human Resources,1,3077.0,58,107,30.0,9,4,27.0,7,3.0,3,2.0,3.0,2,Travel_Frequently,Married,13,no,24,5,2,1,Yes,2023-08-28,1.0,46-60,Medium,15+ yrs,2.6666666666666665,0,2023,8
EMP2175,Sarah Smith$$,49.0,Female,Marketing,Financial Analyst,Marketing,3,4682.0,97,693,16.0,14,8,23.0,4,4.0,2,1.0,3.0,3,Non-Travel,Married,9,Yes,23,2,1,3,No,2010-12-15,0.0,46-60,Medium,15+ yrs,2.3333333333333335,0,2010,12
EMP1762,Lisa Davis,49.0,Female,IT,Financial Analyst,Human Resources,1,1891.0,49,1381,13.0,14,8,0.0,7,1.0,4,1.0,3.0,2,Non-Travel,Divorced,1,Yes,20,5,0,4,No,2010-10-25,0.0,46-60,Low,8–15 yrs,2.0,0,2010,10
EMP7351,Matthew Taylor,47.0,Female,IT,Manager,Marketing,2,19661.0,56,395,18.0,13,4,19.0,5,3.0,2,4.0,4.0,2,Non-Travel,Married,6,No,21,6,2,2,No,2016-03-03,0.0,46-60,Very High,15+ yrs,3.0,0,2016,3
EMP1433,Richard Young,38.0,Male,Sales,Software Engineer,Life Sciences,2,4397.0,50,949,6.0,7,1,12.0,5,3.0,4,1.0,3.0,3,Travel_Frequently,DIVORCED,19,Yes,12,6,2,1,Yes,2018-01-03,1.0,36-45,Medium,4–7 yrs,2.6666666666666665,0,2018,1
EMP8621,Richard Taylor,44.0,female,Sales,Research Scientist,Marketing,1,2101.0,90,206,1.0,1,0,19.0,9,1.0,3,2.0,3.0,4,Travel_Rarely,single,11,Y,22,3,0,1,No,2014-07-03,0.0,36-45,Low,<1 yr,2.0,0,2014,7
EMP7992,Mary Taylor,47.0,Female,Research & Development ,Research Scientist,Life Sciences,1,18240.0,97,1138,4.0,0,4,27.0,1,2.0,4,1.0,4.0,3,Non-Travel,Married,21,Yes,25,0,2,2,No,2014-10-02,0.0,46-60,Very High,4–7 yrs,2.3333333333333335,0,2014,10
EMP5899,Lisa Miller,37.0,female,IT dept,Laboratory Technician,Marketing,4,17475.0,31,1088,9.0,8,4,29.0,2,2.0,1,2.0,4.0,3,Non-Travel,Divorced,5,Yes,17,3,1,1,No,2020-01-02,0.0,36-45,Very High,8–15 yrs,1.6666666666666667,0,2020,1
EMP1718,Barbara Martin,22.0,m,Marketing,Financial Analyst,Medical,4,3118.0,60,603,35.0,16,1,13.0,3,1.0,1,4.0,4.0,1,Travel_Rarely,Divorced,16,Yes,19,0,1,3,No,2016-04-10,0.0,18-25,Medium,15+ yrs,2.0,0,2016,4
EMP7181,  Thomas Miller   ,32.0,Female,IT dept,Marketing Specialist,Marketing,1,8280.0,87,870,12.0,11,4,30.0,8,3.0,4,3.0,3.0,3,Travel_Frequently,Married,2,Yes,16,4,0,1,Yes,2017-02-10,1.0,26-35,High,8–15 yrs,3.3333333333333335,0,2017,2
EMP7162,  Anthony Wilson   ,56.0,Male,Research & Development,Manager,Technical Degree,4,19202.0,85,783,28.0,3,4,35.0,9,4.0,1,1.0,3.0,2,Non-Travel,Married,1,Yes,25,5,1,2,No,2024-01-19,0.0,46-60,Very High,15+ yrs,2.0,0,2024,1
EMP2106,Susan Moore,32.0,Male,Operations,Marketing Specialist,Human Resources,1,8167.0,36,1230,25.0,8,7,39.0,1,4.0,3,2.0,3.0,1,Travel_Frequently,Married,5,NO,13,4,0,2,No,2014-03-17,0.0,26-35,High,15+ yrs,3.0,0,2014,3
EMP8080,Sarah Harris,56.0,Female,Marketing,Director,Life Sciences,5,11561.0,86,436,8.0,4,0,5.0,2,2.0,1,4.0,3.0,2,Non-Travel,Married,2,yes,16,0,2,3,Yes,2016-08-14,1.0,46-60,Very High,8–15 yrs,2.3333333333333335,0,2016,8
EMP1451,William Miller,39.0,Male,Research & Development,Financial Analyst,Other,3,3031.0,62,1150,13.0,6,10,26.0,5,2.0,4,2.0,3.0,1,Travel_Frequently,single,26,No,13,6,1,1,No,2015-06-11,0.0,36-45,Medium,8–15 yrs,2.6666666666666665,0,2015,6
